ID,Edad,Tipo_Trabajo,Estado_Civil,Educacion,Incumplimiento,Vivienda,Consumo,Contacto,Mes,Dias,Campana,Dias_Ultima_Camp,No_Contactos,Resultado_Anterior,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,y
1,57,services,married,high.school,unknown,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
2,37,services,married,high.school,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
3,40,admin.,married,basic.6y,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
4,56,services,married,high.school,no,no,yes,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
5,41,blue-collar,married,unknown,unknown,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
6,24,technician,single,professional.course,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
7,25,services,single,high.school,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
8,41,blue-collar,married,unknown,unknown,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
9,25,services,single,high.school,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
10,29,blue-collar,single,high.school,no,no,yes,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
11,57,housemaid,divorced,basic.4y,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
12,35,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
13,54,retired,married,basic.9y,unknown,yes,yes,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
14,46,blue-collar,married,basic.6y,unknown,yes,yes,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
15,50,blue-collar,married,basic.9y,no,yes,yes,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
16,39,management,single,basic.9y,unknown,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
17,55,retired,single,high.school,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
18,41,technician,single,high.school,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
19,37,admin.,married,high.school,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
20,35,technician,married,university.degree,no,no,yes,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
21,39,self-employed,married,basic.9y,unknown,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
22,54,technician,single,university.degree,unknown,no,no,telephone,may,mon,2,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
